concept,element,estadistico,breakdown,category,measure,wave,value
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2014,27.64437905838413
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2014,38.485375783005786
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2014,60.87138133903936
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2014,18.798586555909708
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2014,25.35068416071692
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2014,30.89133358091784
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2014,43.27006350333589
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2014,64.67815703868872
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2014,20.98927946373388
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2014,20.01204209992392
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2014,26.196125443824503
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2014,35.80427476540705
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2014,48.12552371290895
INCOME,LABOUR INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2014,18.467937458787723
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2014,1.1534124325748796
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2014,2.432598610645472
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2014,3.633158707825739
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2014,17.633611761402175
INCOME,CAPITAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2014,1.807899767654731
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2014,0.2378404260715191
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2014,0.4947266675120467
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2014,1.121380446360639
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2014,7.478966522952067
INCOME,CAPITAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2014,0.2092717030180065
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2011,29.180605393348166
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2011,36.98571111397275
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2011,52.03717218179919
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2011,94.24889884617708
INCOME,TOTAL INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2011,27.107906978990883
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2011,22.65962207335542
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2011,31.279258833307907
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2011,43.44028153455243
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2011,62.084485464931895
INCOME,TOTAL INCOME,MEDIAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2011,21.169841615398973
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 25 and 50,Thousands of euro (),2011,26.88048507230163
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 50 and 75,Thousands of euro (),2011,33.17606763542021
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 75 and 90,Thousands of euro (),2011,44.25473126369639
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Between 90 and 100,Thousands of euro (),2011,70.63323622498018
INCOME,LABOUR INCOME,MEAN,NET WEALTH PERCENTILE,Under 25,Thousands of euro (),2011,24.42238930593632
